0, 0.00, 0.00, 0
1, 3.90, 0.70, 0.00
2, 22.40, 2.60, 0.00
3, 10.70, 4.90, 0.00
4, 2.80, 8.30, 0.00
5, 3.90, 5.30, 0.00
6, 1.40, 0.60, 0.00
7, 9.00, 1.40, 1.00
8, 12.40, 1.60, 0.00
9, 13.30, 3.00, 0.00
10, 9.30, 4.30, 0.00
11, 13.90, 4.60, 0.00
12, 20.20, 0.60, 0.00
13, 0.40, 5.30, 0.00
14, 5.10, 14.20, 0.00
15, 12.00, 4.20, 1.00
16, 12.30, 5.90, 0.00
17, 1.50, 6.70, 0.00
18, 23.20, 3.90, 0.00
19, 3.90, 0.30, 0.00
20, 7.40, 7.10, 1.00
21, 7.50, 10.59, 1.00
22, 2.42, 7.15, 1.00
