0, 0.00, 0.00, 0
1, 20.70, 1.30, 0.00
2, 2.50, 9.40, 1.00
3, 6.20, 0.00, 0.00
4, 6.10, 2.70, 0.00
5, 6.00, 20.10, 1.00
6, 1.70, 16.20, 1.00
7, 2.30, 16.30, 0.00
8, 3.90, 12.30, 0.00
9, 4.30, 16.70, 0.00
10, 24.20, 2.00, 0.00
11, 4.20, 23.10, 0.00
12, 14.90, 0.40, 0.00
13, 3.70, 0.80, 0.00
14, 2.30, 7.00, 1.00
15, 20.70, 0.00, 0.00
16, 1.70, 1.20, 0.00
17, 2.00, 22.20, 0.00
18, 2.80, 1.60, 0.00
19, 22.80, 7.20, 0.00
20, 4.20, 13.00, 1.00
21, 3.30, 2.73, 1.00
22, 13.29, 11.14, 1.00
