0, 8.80, 0.00, 0
1, 3.70, 15.80, 1.00
2, 4.80, 6.60, 0.00
3, 1.30, 11.50, 0.00
4, 15.00, 3.70, 0.00
5, 4.00, 9.40, 1.00
6, 6.30, 0.60, 0.00
7, 3.80, 9.50, 0.00
8, 3.00, 12.60, 0.00
9, 4.90, 4.90, 0.00
10, 1.70, 4.20, 0.00
11, 12.10, 2.50, 0.00
12, 16.20, 2.80, 0.00
13, 2.60, 14.90, 0.00
14, 12.90, 3.90, 0.00
15, 1.20, 2.90, 0.00
16, 14.40, 3.60, 0.00
17, 1.80, 2.60, 0.00
18, 15.90, 3.60, 1.00
19, 16.30, 5.20, 1.00
20, 10.20, 2.80, 1.00
21, 10.90, 0.46, 1.00
22, 14.83, 4.25, 1.00
