0, 12.40, 12.40, 0
1, 6.50, 18.40, 0.00
2, 6.90, 11.00, 0.00
3, 3.70, 12.50, 1.00
4, 13.80, 0.00, 1.00
5, 14.20, 6.90, 0.00
6, 5.80, 20.20, 0.00
7, 2.70, 9.60, 0.00
8, 13.40, 3.50, 0.00
9, 7.30, 9.40, 0.00
10, 4.50, 16.40, 0.00
11, 0.60, 5.50, 0.00
12, 5.60, 16.00, 0.00
13, 15.90, 2.20, 1.00
14, 21.50, 5.40, 0.00
15, 3.70, 1.00, 0.00
16, 15.80, 3.50, 0.00
17, 14.20, 7.00, 0.00
18, 5.90, 24.10, 0.00
19, 3.50, 1.00, 0.00
20, 23.30, 1.70, 1.00
21, 15.47, 5.30, 1.00
22, 22.47, 18.21, 1.00
