0, 8.80, 8.80, 0
1, 14.50, 2.90, 0.00
2, 3.20, 16.60, 0.00
3, 4.90, 0.60, 0.00
4, 9.40, 0.30, 1.00
5, 15.70, 1.40, 0.00
6, 4.50, 3.50, 0.00
7, 5.00, 8.50, 0.00
8, 3.50, 2.80, 1.00
9, 10.10, 3.90, 0.00
10, 3.40, 6.60, 0.00
11, 9.50, 3.80, 0.00
12, 1.90, 15.50, 0.00
13, 5.40, 5.20, 0.00
14, 4.70, 15.90, 0.00
15, 2.70, 15.30, 0.00
16, 9.90, 4.10, 0.00
17, 2.60, 2.50, 0.00
18, 3.10, 6.30, 0.00
19, 3.40, 7.70, 0.00
20, 1.50, 0.60, 1.00
21, 9.63, 1.79, 1.00
22, 10.50, 13.36, 1.00
