0, 0.00, 0.00, 0
1, 2.00, 0.40, 0.00
2, 6.10, 7.60, 0.00
3, 0.80, 3.50, 1.00
4, 5.90, 20.20, 0.00
5, 0.90, 2.90, 0.00
6, 23.60, 5.10, 0.00
7, 13.90, 2.40, 0.00
8, 9.50, 4.30, 0.00
9, 2.50, 19.80, 0.00
10, 9.70, 2.00, 0.00
11, 9.00, 3.00, 1.00
12, 1.40, 13.70, 0.00
13, 1.30, 9.40, 0.00
14, 7.30, 11.40, 0.00
15, 19.60, 7.30, 1.00
16, 8.50, 2.60, 0.00
17, 7.00, 4.00, 0.00
18, 5.00, 7.10, 1.00
19, 19.50, 4.50, 0.00
20, 0.70, 5.30, 1.00
21, 2.94, 8.23, 1.00
22, 1.83, 4.90, 1.00
