0, 8.80, 8.80, 0
1, 1.80, 13.00, 1.00
2, 1.60, 9.30, 0.00
3, 1.60, 9.60, 1.00
4, 4.50, 12.10, 0.00
5, 3.20, 7.60, 0.00
6, 4.70, 4.40, 0.00
7, 1.40, 5.60, 0.00
8, 5.50, 4.60, 0.00
9, 0.70, 4.20, 0.00
10, 10.10, 2.90, 1.00
11, 0.00, 11.40, 0.00
12, 2.90, 12.70, 0.00
13, 8.10, 5.10, 0.00
14, 3.80, 11.00, 0.00
15, 2.20, 1.10, 0.00
16, 0.70, 3.70, 0.00
17, 4.90, 4.50, 0.00
18, 3.20, 3.00, 0.00
19, 4.30, 4.20, 0.00
20, 9.10, 1.40, 1.00
21, 8.23, 6.41, 1.00
22, 3.54, 10.77, 1.00
