0, 8.80, 0.00, 0
1, 0.80, 2.80, 0.00
2, 1.00, 8.30, 0.00
3, 3.40, 12.30, 0.00
4, 2.20, 3.60, 1.00
5, 0.40, 10.10, 0.00
6, 1.40, 4.90, 0.00
7, 17.20, 0.60, 0.00
8, 0.30, 11.50, 0.00
9, 3.60, 12.80, 0.00
10, 0.00, 13.40, 0.00
11, 0.50, 1.20, 0.00
12, 6.60, 0.80, 0.00
13, 3.50, 6.60, 0.00
14, 1.90, 3.90, 1.00
15, 1.30, 1.00, 0.00
16, 7.90, 3.90, 0.00
17, 4.50, 1.10, 0.00
18, 3.90, 6.10, 0.00
19, 0.80, 5.20, 0.00
20, 10.90, 1.50, 1.00
21, 1.89, 6.05, 1.00
22, 16.26, 8.55, 1.00
